Unnamed: 0,Economy_Label,CommercialMarket_Label,Average_age_of_vessels_years_Value,Average_age_of_vessels_years_MissingValue,Median_time_in_port_days_Value,Median_time_in_port_days_MissingValue,Average_size_GT_of_vessels_Value,Average_size_GT_of_vessels_MissingValue,Average_cargo_carrying_capacity_dwt_per_vessel_Value,Average_cargo_carrying_capacity_dwt_per_vessel_MissingValue,Average_container_carrying_capacity_TEU_per_container_ship_Value,Average_container_carrying_capacity_TEU_per_container_ship_MissingValue,Maximum_size_GT_of_vessels_Value,Maximum_size_GT_of_vessels_MissingValue,Maximum_cargo_carrying_capacity_dwt_of_vessels_Value,Maximum_cargo_carrying_capacity_dwt_of_vessels_MissingValue,Maximum_container_carrying_capacity_TEU_of_container_ships_Value,Maximum_container_carrying_capacity_TEU_of_container_ships_MissingValue,period
333,Philippines,Liquefied petroleum gas carriers,16,,0.71,,7477,,8458.0,,,Not available or not separately reported,49997,,55333.0,,,Not available or not separately reported,2022-S2
334,Philippines,Dry bulk carriers,14,,5.15,,26691,,47107.0,,,Not available or not separately reported,151094,,297442.0,,,Not available or not separately reported,2022-S2
335,Philippines,Dry breakbulk carriers,20,,0.93,,4080,,5411.0,,,Not available or not separately reported,66870,,71691.0,,,Not available or not separately reported,2022-S2
336,Philippines,Roll-on/ roll-off ships,27,,,Not available or not separately reported,20100,,8484.0,,,Not available or not separately reported,76299,,26988.0,,,Not available or not separately reported,2022-S2
337,Philippines,Container ships,17,,1.01,,17705,,,Not available or not separately reported,1636.0,,72884,,,Not available or not separately reported,6570.0,,2022-S2
338,Philippines,Passenger ships,19,,,Not available or not separately reported,3848,,,Not available or not separately reported,,Not available or not separately reported,29064,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
339,Russian Federation,All ships,27,,1.42,,10933,,16817.0,,1140.0,,136716,,181352.0,,4132.0,,2022-S2
340,Russian Federation,Liquid bulk carriers,23,,1.11,,14734,,25142.0,,,Not available or not separately reported,87146,,166300.0,,,Not available or not separately reported,2022-S2
341,Russian Federation,Liquefied petroleum gas carriers,22,,1.79,,10395,,12606.0,,,Not available or not separately reported,18425,,22911.0,,,Not available or not separately reported,2022-S2
342,Russian Federation,Liquefied natural gas carriers,10,,1.09,,100768,,73744.0,,,Not available or not separately reported,136716,,97000.0,,,Not available or not separately reported,2022-S2
343,Russian Federation,Dry bulk carriers,18,,2.78,,27391,,48421.0,,,Not available or not separately reported,94934,,181352.0,,,Not available or not separately reported,2022-S2
344,Russian Federation,Dry breakbulk carriers,31,,1.56,,4202,,5559.0,,,Not available or not separately reported,84503,,98370.0,,,Not available or not separately reported,2022-S2
345,Russian Federation,Roll-on/ roll-off ships,32,,,Not available or not separately reported,9882,,5420.0,,,Not available or not separately reported,50308,,16178.0,,,Not available or not separately reported,2022-S2
346,Russian Federation,Container ships,20,,1.74,,12834,,,Not available or not separately reported,1140.0,,39812,,,Not available or not separately reported,4132.0,,2022-S2
347,Russian Federation,Passenger ships,28,,,Not available or not separately reported,7104,,,Not available or not separately reported,,Not available or not separately reported,38557,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
348,Singapore,All ships,12,,0.75,,25808,,18934.0,,5117.0,,236583,,321300.0,,23964.0,,2022-S2
349,Singapore,Liquid bulk carriers,11,,0.64,,11220,,18800.0,,,Not available or not separately reported,170611,,321300.0,,,Not available or not separately reported,2022-S2
350,Singapore,Liquefied petroleum gas carriers,13,,1.23,,9430,,10769.0,,,Not available or not separately reported,51035,,56864.0,,,Not available or not separately reported,2022-S2
351,Singapore,Liquefied natural gas carriers,10,,1.29,,105058,,84103.0,,,Not available or not separately reported,144978,,121946.0,,,Not available or not separately reported,2022-S2
352,Singapore,Dry bulk carriers,13,,2.02,,21373,,35723.0,,,Not available or not separately reported,151307,,298172.0,,,Not available or not separately reported,2022-S2
353,Singapore,Dry breakbulk carriers,16,,0.82,,9604,,12956.0,,,Not available or not separately reported,91649,,103378.0,,,Not available or not separately reported,2022-S2
354,Singapore,Roll-on/ roll-off ships,15,,,Not available or not separately reported,54153,,17869.0,,,Not available or not separately reported,76420,,43878.0,,,Not available or not separately reported,2022-S2
355,Singapore,Container ships,14,,0.88,,54716,,,Not available or not separately reported,5117.0,,236583,,,Not available or not separately reported,23964.0,,2022-S2
356,Singapore,Passenger ships,8,,,Not available or not separately reported,121740,,,Not available or not separately reported,,Not available or not separately reported,169379,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
357,Spain,All ships,18,,0.88,,16723,,16522.0,,3044.0,,236583,,318953.0,,23964.0,,2022-S2
358,Spain,Liquid bulk carriers,13,,0.86,,11335,,18709.0,,,Not available or not separately reported,165571,,318953.0,,,Not available or not separately reported,2022-S2
359,Spain,Liquefied petroleum gas carriers,12,,1.08,,8193,,9255.0,,,Not available or not separately reported,50468,,55432.0,,,Not available or not separately reported,2022-S2
360,Spain,Liquefied natural gas carriers,11,,1.04,,96008,,75646.0,,,Not available or not separately reported,163922,,130298.0,,,Not available or not separately reported,2022-S2
361,Spain,Dry bulk carriers,15,,2.25,,25770,,44814.0,,,Not available or not separately reported,107879,,208445.0,,,Not available or not separately reported,2022-S2
362,Spain,Dry breakbulk carriers,17,,1.26,,5183,,7275.0,,,Not available or not separately reported,48292,,73296.0,,,Not available or not separately reported,2022-S2
363,Spain,Roll-on/ roll-off ships,13,,,Not available or not separately reported,25984,,9085.0,,,Not available or not separately reported,76420,,46634.0,,,Not available or not separately reported,2022-S2
364,Spain,Container ships,16,,0.65,,33109,,,Not available or not separately reported,3044.0,,236583,,,Not available or not separately reported,23964.0,,2022-S2
365,Spain,Passenger ships,20,,,Not available or not separately reported,15051,,,Not available or not separately reported,,Not available or not separately reported,235600,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
366,Sweden,All ships,23,,0.82,,17319,,9097.0,,1638.0,,214286,,319725.0,,19630.0,,2022-S2
367,Sweden,Liquid bulk carriers,14,,0.67,,8489,,12738.0,,,Not available or not separately reported,166223,,319725.0,,,Not available or not separately reported,2022-S2
368,Sweden,Liquefied petroleum gas carriers,13,,0.97,,9640,,10674.0,,,Not available or not separately reported,49567,,55115.0,,,Not available or not separately reported,2022-S2
369,Sweden,Dry bulk carriers,27,,0.56,,8273,,12877.0,,,Not available or not separately reported,49445,,85000.0,,,Not available or not separately reported,2022-S2
370,Sweden,Dry breakbulk carriers,21,,1.06,,3846,,5458.0,,,Not available or not separately reported,37499,,56816.0,,,Not available or not separately reported,2022-S2
371,Sweden,Roll-on/ roll-off ships,19,,,Not available or not separately reported,29439,,12279.0,,,Not available or not separately reported,76420,,34960.0,,,Not available or not separately reported,2022-S2
372,Sweden,Container ships,17,,0.72,,17410,,,Not available or not separately reported,1638.0,,214286,,,Not available or not separately reported,19630.0,,2022-S2
373,Sweden,Passenger ships,26,,,Not available or not separately reported,21251,,,Not available or not separately reported,,Not available or not separately reported,145000,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
374,Turkiye,All ships,25,,1.24,,5648,,17314.0,,2652.0,,194308,,305749.0,,19462.0,,2022-S2
375,Turkiye,Liquid bulk carriers,14,,1.27,,18857,,32316.0,,,Not available or not separately reported,159566,,305749.0,,,Not available or not separately reported,2022-S2
376,Turkiye,Liquefied petroleum gas carriers,19,,1.24,,17129,,20004.0,,,Not available or not separately reported,49231,,55408.0,,,Not available or not separately reported,2022-S2
377,Turkiye,Liquefied natural gas carriers,8,,1.26,,111905,,89850.0,,,Not available or not separately reported,141671,,105602.0,,,Not available or not separately reported,2022-S2
378,Turkiye,Dry bulk carriers,17,,3.76,,24462,,42118.0,,,Not available or not separately reported,107741,,209801.0,,,Not available or not separately reported,2022-S2
379,Turkiye,Dry breakbulk carriers,27,,1.48,,4335,,6058.0,,,Not available or not separately reported,74226,,80067.0,,,Not available or not separately reported,2022-S2
380,Turkiye,Roll-on/ roll-off ships,25,,,Not available or not separately reported,25015,,9999.0,,,Not available or not separately reported,76420,,45200.0,,,Not available or not separately reported,2022-S2
381,Turkiye,Container ships,18,,0.61,,28827,,,Not available or not separately reported,2652.0,,194308,,,Not available or not separately reported,19462.0,,2022-S2
382,Turkiye,Passenger ships,26,,,Not available or not separately reported,1965,,,Not available or not separately reported,,Not available or not separately reported,167704,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
383,United Kingdom,All ships,19,,1.15,,14290,,13198.0,,3198.0,,236228,,319896.0,,24004.0,,2022-S2
384,United Kingdom,Liquid bulk carriers,15,,1.07,,13316,,22113.0,,,Not available or not separately reported,166178,,319896.0,,,Not available or not separately reported,2022-S2
385,United Kingdom,Liquefied petroleum gas carriers,11,,1.1,,6781,,7330.0,,,Not available or not separately reported,59226,,51312.0,,,Not available or not separately reported,2022-S2
386,United Kingdom,Liquefied natural gas carriers,8,,1.23,,100993,,81194.0,,,Not available or not separately reported,168189,,154940.0,,,Not available or not separately reported,2022-S2
387,United Kingdom,Dry bulk carriers,14,,2.71,,26284,,45060.0,,,Not available or not separately reported,94710,,182309.0,,,Not available or not separately reported,2022-S2
388,United Kingdom,Dry breakbulk carriers,19,,1.51,,3605,,4982.0,,,Not available or not separately reported,72275,,81798.0,,,Not available or not separately reported,2022-S2
389,United Kingdom,Roll-on/ roll-off ships,15,,,Not available or not separately reported,24002,,9769.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2022-S2
390,United Kingdom,Container ships,16,,0.78,,34727,,,Not available or not separately reported,3198.0,,236228,,,Not available or not separately reported,24004.0,,2022-S2
391,United Kingdom,Passenger ships,20,,,Not available or not separately reported,13062,,,Not available or not separately reported,,Not available or not separately reported,204400,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
392,United States of America,All ships,26,,1.65,,18282,,49015.0,,5506.0,,235600,,322829.0,,19224.0,,2022-S2
393,United States of America,Liquid bulk carriers,11,,1.65,,36788,,64011.0,,,Not available or not separately reported,170611,,322829.0,,,Not available or not separately reported,2022-S2
394,United States of America,Liquefied petroleum gas carriers,8,,1.79,,31098,,35161.0,,,Not available or not separately reported,60784,,64012.0,,,Not available or not separately reported,2022-S2
395,United States of America,Liquefied natural gas carriers,6,,1.39,,106182,,84739.0,,,Not available or not separately reported,149367,,121946.0,,,Not available or not separately reported,2022-S2
396,United States of America,Dry bulk carriers,19,,2.24,,29296,,52571.0,,,Not available or not separately reported,109716,,208530.0,,,Not available or not separately reported,2022-S2
397,United States of America,Dry breakbulk carriers,18,,1.97,,12325,,16371.0,,,Not available or not separately reported,91784,,116173.0,,,Not available or not separately reported,2022-S2
398,United States of America,Roll-on/ roll-off ships,14,,,Not available or not separately reported,59899,,21853.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2022-S2
399,United States of America,Container ships,15,,1.36,,61734,,,Not available or not separately reported,5506.0,,194308,,,Not available or not separately reported,19224.0,,2022-S2
400,United States of America,Passenger ships,30,,,Not available or not separately reported,9886,,,Not available or not separately reported,,Not available or not separately reported,235600,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
401,World,All ships,18,,1.0,,14427,,25624.0,,3534.0,,237000,,404389.0,,24116.0,,2023-S1
402,World,Liquid bulk carriers,15,,0.99,,16117,,28408.0,,,Not available or not separately reported,170618,,323514.0,,,Not available or not separately reported,2023-S1
403,World,Liquefied petroleum gas carriers,16,,1.04,,10939,,12240.0,,,Not available or not separately reported,60784,,64220.0,,,Not available or not separately reported,2023-S1
404,World,Liquefied natural gas carriers,12,,1.11,,93534,,73247.0,,,Not available or not separately reported,168189,,155159.0,,,Not available or not separately reported,2023-S1
405,World,Dry bulk carriers,15,,2.2,,32935,,58976.0,,,Not available or not separately reported,204014,,404389.0,,,Not available or not separately reported,2023-S1
406,World,Dry breakbulk carriers,21,,1.08,,5579,,7757.0,,,Not available or not separately reported,149944,,175897.0,,,Not available or not separately reported,2023-S1
407,World,Roll-on/ roll-off ships,17,,,Not available or not separately reported,26276,,10467.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2023-S1
408,World,Container ships,15,,0.7,,38049,,,Not available or not separately reported,3534.0,,237000,,,Not available or not separately reported,24116.0,,2023-S1
409,World,Passenger ships,20,,,Not available or not separately reported,8278,,,Not available or not separately reported,,Not available or not separately reported,235600,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
410,Australia,All ships,18,,1.53,,33793,,82767.0,,4413.0,,168666,,297902.0,,9572.0,,2023-S1
411,Australia,Liquid bulk carriers,9,,1.29,,24412,,41398.0,,,Not available or not separately reported,84624,,160036.0,,,Not available or not separately reported,2023-S1
412,Australia,Liquefied petroleum gas carriers,8,,0.84,,13462,,14415.0,,,Not available or not separately reported,53471,,58811.0,,,Not available or not separately reported,2023-S1
413,Australia,Liquefied natural gas carriers,11,,1.2,,111839,,85727.0,,,Not available or not separately reported,149367,,97955.0,,,Not available or not separately reported,2023-S1
414,Australia,Dry bulk carriers,11,,1.69,,59934,,112111.0,,,Not available or not separately reported,152311,,297902.0,,,Not available or not separately reported,2023-S1
415,Australia,Dry breakbulk carriers,13,,2.01,,18043,,27525.0,,,Not available or not separately reported,57541,,80500.0,,,Not available or not separately reported,2023-S1
416,Australia,Roll-on/ roll-off ships,11,,,Not available or not separately reported,40548,,15091.0,,,Not available or not separately reported,76420,,43878.0,,,Not available or not separately reported,2023-S1
417,Australia,Container ships,15,,1.38,,48145,,,Not available or not separately reported,4413.0,,109712,,,Not available or not separately reported,9572.0,,2023-S1
418,Australia,Passenger ships,27,,,Not available or not separately reported,8212,,,Not available or not separately reported,,Not available or not separately reported,168666,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
419,Canada,All ships,26,,0.73,,11084,,34288.0,,5375.0,,225282,,318918.0,,16000.0,,2023-S1
420,Canada,Liquid bulk carriers,13,,1.11,,24830,,41553.0,,,Not available or not separately reported,161593,,318918.0,,,Not available or not separately reported,2023-S1
421,Canada,Liquefied petroleum gas carriers,10,,1.43,,47635,,54540.0,,,Not available or not separately reported,49231,,58899.0,,,Not available or not separately reported,2023-S1
422,Canada,Dry bulk carriers,21,,0.59,,29290,,50622.0,,,Not available or not separately reported,109872,,210963.0,,,Not available or not separately reported,2023-S1
423,Canada,Dry breakbulk carriers,8,,0.12,,9221,,10661.0,,,Not available or not separately reported,49091,,63581.0,,,Not available or not separately reported,2023-S1
424,Canada,Roll-on/ roll-off ships,16,,,Not available or not separately reported,14188,,6753.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2023-S1
425,Canada,Container ships,16,,1.49,,59039,,,Not available or not separately reported,5375.0,,176546,,,Not available or not separately reported,16000.0,,2023-S1
426,Canada,Passenger ships,28,,,Not available or not separately reported,7093,,,Not available or not separately reported,,Not available or not separately reported,225282,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
427,China,All ships,14,,1.05,,33157,,45972.0,,4477.0,,237000,,404389.0,,24116.0,,2023-S1
428,China,Liquid bulk carriers,13,,1.11,,20178,,35185.0,,,Not available or not separately reported,170618,,323514.0,,,Not available or not separately reported,2023-S1
429,China,Liquefied petroleum gas carriers,14,,1.02,,9767,,10580.0,,,Not available or not separately reported,60784,,64220.0,,,Not available or not separately reported,2023-S1
430,China,Liquefied natural gas carriers,10,,1.17,,95534,,75894.0,,,Not available or not separately reported,168189,,155159.0,,,Not available or not separately reported,2023-S1
431,China,Dry bulk carriers,15,,2.01,,43013,,78587.0,,,Not available or not separately reported,204014,,404389.0,,,Not available or not separately reported,2023-S1
432,China,Dry breakbulk carriers,17,,1.3,,11067,,15545.0,,,Not available or not separately reported,149944,,175897.0,,,Not available or not separately reported,2023-S1
433,China,Roll-on/ roll-off ships,14,,,Not available or not separately reported,27170,,9663.0,,,Not available or not separately reported,76420,,46634.0,,,Not available or not separately reported,2023-S1
434,China,Container ships,13,,0.6,,47767,,,Not available or not separately reported,4477.0,,237000,,,Not available or not separately reported,24116.0,,2023-S1
435,China,Passenger ships,13,,,Not available or not separately reported,19196,,,Not available or not separately reported,,Not available or not separately reported,77499,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
436,Croatia,All ships,18,,1.28,,3856,,24141.0,,4274.0,,157844,,306506.0,,15500.0,,2023-S1
437,Croatia,Liquid bulk carriers,16,,1.01,,19434,,33467.0,,,Not available or not separately reported,157844,,306506.0,,,Not available or not separately reported,2023-S1
438,Croatia,Liquefied natural gas carriers,7,,1.82,,111269,,92013.0,,,Not available or not separately reported,117162,,95788.0,,,Not available or not separately reported,2023-S1
439,Croatia,Dry bulk carriers,22,,2.1,,19481,,33731.0,,,Not available or not separately reported,94090,,182820.0,,,Not available or not separately reported,2023-S1
440,Croatia,Dry breakbulk carriers,22,,2.66,,5750,,7693.0,,,Not available or not separately reported,149944,,175897.0,,,Not available or not separately reported,2023-S1
441,Croatia,Container ships,17,,0.64,,47054,,,Not available or not separately reported,4274.0,,153774,,,Not available or not separately reported,15500.0,,2023-S1
442,Croatia,Passenger ships,18,,,Not available or not separately reported,3391,,,Not available or not separately reported,,Not available or not separately reported,145655,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
443,Denmark,All ships,22,,0.77,,9862,,7824.0,,2016.0,,214286,,180086.0,,19630.0,,2023-S1
444,Denmark,Liquid bulk carriers,19,,0.69,,7940,,12688.0,,,Not available or not separately reported,84735,,164787.0,,,Not available or not separately reported,2023-S1
445,Denmark,Liquefied petroleum gas carriers,12,,1.25,,3520,,3732.0,,,Not available or not separately reported,8009,,8643.0,,,Not available or not separately reported,2023-S1
446,Denmark,Dry bulk carriers,12,,0.82,,10726,,17641.0,,,Not available or not separately reported,94863,,180086.0,,,Not available or not separately reported,2023-S1
447,Denmark,Dry breakbulk carriers,24,,0.85,,3260,,4499.0,,,Not available or not separately reported,49091,,63581.0,,,Not available or not separately reported,2023-S1
448,Denmark,Roll-on/ roll-off ships,19,,,Not available or not separately reported,23288,,12571.0,,,Not available or not separately reported,72708,,48988.0,,,Not available or not separately reported,2023-S1
449,Denmark,Container ships,17,,0.58,,22232,,,Not available or not separately reported,2016.0,,214286,,,Not available or not separately reported,19630.0,,2023-S1
450,Denmark,Passenger ships,22,,,Not available or not separately reported,10227,,,Not available or not separately reported,,Not available or not separately reported,183200,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
451,France,All ships,19,,1.16,,22769,,19058.0,,5630.0,,236583,,319398.0,,23964.0,,2023-S1
452,France,Liquid bulk carriers,14,,1.07,,14274,,24688.0,,,Not available or not separately reported,166094,,319398.0,,,Not available or not separately reported,2023-S1
453,France,Liquefied petroleum gas carriers,13,,1.32,,9086,,10151.0,,,Not available or not separately reported,53573,,58243.0,,,Not available or not separately reported,2023-S1
454,France,Liquefied natural gas carriers,9,,1.12,,106812,,83407.0,,,Not available or not separately reported,163922,,130442.0,,,Not available or not separately reported,2023-S1
455,France,Dry bulk carriers,15,,3.25,,24034,,41777.0,,,Not available or not separately reported,106251,,207867.0,,,Not available or not separately reported,2023-S1
456,France,Dry breakbulk carriers,20,,1.51,,4445,,6415.0,,,Not available or not separately reported,49091,,72400.0,,,Not available or not separately reported,2023-S1
457,France,Roll-on/ roll-off ships,19,,,Not available or not separately reported,27129,,11352.0,,,Not available or not separately reported,76420,,45200.0,,,Not available or not separately reported,2023-S1
458,France,Container ships,14,,0.89,,61255,,,Not available or not separately reported,5630.0,,236583,,,Not available or not separately reported,23964.0,,2023-S1
459,France,Passenger ships,20,,,Not available or not separately reported,23369,,,Not available or not separately reported,,Not available or not separately reported,228081,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
460,Germany,All ships,22,,0.64,,13256,,9967.0,,5098.0,,237000,,320926.0,,24004.0,,2023-S1
461,Germany,Liquid bulk carriers,20,,0.42,,4814,,8848.0,,,Not available or not separately reported,166308,,320926.0,,,Not available or not separately reported,2023-S1
462,Germany,Liquefied petroleum gas carriers,16,,0.85,,4954,,5561.0,,,Not available or not separately reported,47789,,54650.0,,,Not available or not separately reported,2023-S1
463,Germany,Liquefied natural gas carriers,12,,1.0,,28347,,24544.0,,,Not available or not separately reported,135977,,98936.0,,,Not available or not separately reported,2023-S1
464,Germany,Dry bulk carriers,13,,2.59,,29753,,51643.0,,,Not available or not separately reported,109731,,209338.0,,,Not available or not separately reported,2023-S1
465,Germany,Dry breakbulk carriers,28,,0.62,,3684,,5217.0,,,Not available or not separately reported,54730,,72400.0,,,Not available or not separately reported,2023-S1
466,Germany,Roll-on/ roll-off ships,17,,,Not available or not separately reported,32538,,13303.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2023-S1
467,Germany,Container ships,15,,1.0,,55126,,,Not available or not separately reported,5098.0,,237000,,,Not available or not separately reported,24004.0,,2023-S1
468,Germany,Passenger ships,22,,,Not available or not separately reported,12126,,,Not available or not separately reported,,Not available or not separately reported,184089,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
469,Greece,All ships,24,,0.85,,8420,,7607.0,,4483.0,,237000,,319359.0,,24000.0,,2023-S1
470,Greece,Liquid bulk carriers,23,,0.63,,5323,,8382.0,,,Not available or not separately reported,161692,,319359.0,,,Not available or not separately reported,2023-S1
471,Greece,Liquefied petroleum gas carriers,26,,0.98,,5083,,6131.0,,,Not available or not separately reported,22978,,26798.0,,,Not available or not separately reported,2023-S1
472,Greece,Liquefied natural gas carriers,11,,1.13,,103339,,83072.0,,,Not available or not separately reported,144828,,98954.0,,,Not available or not separately reported,2023-S1
473,Greece,Dry bulk carriers,27,,0.76,,7124,,11985.0,,,Not available or not separately reported,93302,,182511.0,,,Not available or not separately reported,2023-S1
474,Greece,Dry breakbulk carriers,35,,1.1,,2933,,4120.0,,,Not available or not separately reported,40350,,62053.0,,,Not available or not separately reported,2023-S1
475,Greece,Roll-on/ roll-off ships,35,,,Not available or not separately reported,16047,,6519.0,,,Not available or not separately reported,76420,,48988.0,,,Not available or not separately reported,2023-S1
476,Greece,Container ships,17,,1.09,,47853,,,Not available or not separately reported,4483.0,,237000,,,Not available or not separately reported,24000.0,,2023-S1
477,Greece,Passenger ships,23,,,Not available or not separately reported,7712,,,Not available or not separately reported,,Not available or not separately reported,186364,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
478,Indonesia,All ships,20,,1.26,,7797,,17052.0,,1283.0,,176435,,210944.0,,16000.0,,2023-S1
479,Indonesia,Liquid bulk carriers,16,,1.31,,8646,,13557.0,,,Not available or not separately reported,85206,,163759.0,,,Not available or not separately reported,2023-S1
480,Indonesia,Liquefied petroleum gas carriers,21,,1.08,,8110,,8845.0,,,Not available or not separately reported,52666,,58886.0,,,Not available or not separately reported,2023-S1
481,Indonesia,Liquefied natural gas carriers,18,,1.42,,94559,,72452.0,,,Not available or not separately reported,136739,,96811.0,,,Not available or not separately reported,2023-S1
482,Indonesia,Dry bulk carriers,18,,2.87,,26055,,46024.0,,,Not available or not separately reported,108868,,210944.0,,,Not available or not separately reported,2023-S1
483,Indonesia,Dry breakbulk carriers,21,,1.18,,5133,,6885.0,,,Not available or not separately reported,57934,,72562.0,,,Not available or not separately reported,2023-S1
484,Indonesia,Roll-on/ roll-off ships,27,,,Not available or not separately reported,11030,,5143.0,,,Not available or not separately reported,75528,,28084.0,,,Not available or not separately reported,2023-S1
485,Indonesia,Container ships,16,,0.97,,14272,,,Not available or not separately reported,1283.0,,176435,,,Not available or not separately reported,16000.0,,2023-S1
486,Indonesia,Passenger ships,21,,,Not available or not separately reported,5021,,,Not available or not separately reported,,Not available or not separately reported,108977,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
487,Italy,All ships,28,,1.31,,10515,,20907.0,,3955.0,,236184,,210000.0,,24000.0,,2023-S1
488,Italy,Liquid bulk carriers,18,,1.3,,18789,,32091.0,,,Not available or not separately reported,86855,,167282.0,,,Not available or not separately reported,2023-S1
489,Italy,Liquefied petroleum gas carriers,16,,1.46,,8951,,10131.0,,,Not available or not separately reported,48963,,54656.0,,,Not available or not separately reported,2023-S1
490,Italy,Liquefied natural gas carriers,17,,2.11,,51718,,38382.0,,,Not available or not separately reported,117564,,93080.0,,,Not available or not separately reported,2023-S1
491,Italy,Dry bulk carriers,14,,3.94,,25986,,44768.0,,,Not available or not separately reported,109534,,210000.0,,,Not available or not separately reported,2023-S1
492,Italy,Dry breakbulk carriers,20,,1.97,,6541,,9116.0,,,Not available or not separately reported,149944,,175897.0,,,Not available or not separately reported,2023-S1
493,Italy,Roll-on/ roll-off ships,13,,,Not available or not separately reported,36845,,13684.0,,,Not available or not separately reported,89797,,47528.0,,,Not available or not separately reported,2023-S1
494,Italy,Container ships,18,,0.93,,43377,,,Not available or not separately reported,3955.0,,236184,,,Not available or not separately reported,24000.0,,2023-S1
495,Italy,Passenger ships,30,,,Not available or not separately reported,7450,,,Not available or not separately reported,,Not available or not separately reported,228081,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
496,Japan,All ships,14,,0.41,,10356,,15079.0,,1580.0,,235311,,327017.0,,15413.0,,2023-S1
497,Japan,Liquid bulk carriers,12,,0.32,,8398,,14241.0,,,Not available or not separately reported,169919,,320122.0,,,Not available or not separately reported,2023-S1
498,Japan,Liquefied petroleum gas carriers,13,,0.38,,7130,,7793.0,,,Not available or not separately reported,54000,,62500.0,,,Not available or not separately reported,2023-S1
499,Japan,Liquefied natural gas carriers,15,,1.01,,63075,,46177.0,,,Not available or not separately reported,149367,,121957.0,,,Not available or not separately reported,2023-S1
500,Japan,Dry bulk carriers,14,,0.92,,17285,,29892.0,,,Not available or not separately reported,161294,,327017.0,,,Not available or not separately reported,2023-S1
501,Japan,Dry breakbulk carriers,15,,1.18,,6892,,9175.0,,,Not available or not separately reported,66870,,80236.0,,,Not available or not separately reported,2023-S1
502,Japan,Roll-on/ roll-off ships,12,,,Not available or not separately reported,16714,,7294.0,,,Not available or not separately reported,76420,,43878.0,,,Not available or not separately reported,2023-S1
503,Japan,Container ships,13,,0.35,,16313,,,Not available or not separately reported,1580.0,,235311,,,Not available or not separately reported,15413.0,,2023-S1
504,Japan,Passenger ships,16,,,Not available or not separately reported,5131,,,Not available or not separately reported,,Not available or not separately reported,171598,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
505,"Korea, Republic of",All ships,15,,0.84,,19386,,21057.0,,2942.0,,236583,,326932.0,,24000.0,,2023-S1
506,"Korea, Republic of",Liquid bulk carriers,14,,0.74,,13736,,23684.0,,,Not available or not separately reported,167578,,323514.0,,,Not available or not separately reported,2023-S1
507,"Korea, Republic of",Liquefied petroleum gas carriers,14,,0.83,,8479,,9265.0,,,Not available or not separately reported,55833,,62500.0,,,Not available or not separately reported,2023-S1
508,"Korea, Republic of",Liquefied natural gas carriers,13,,1.03,,109467,,86556.0,,,Not available or not separately reported,168189,,155159.0,,,Not available or not separately reported,2023-S1
509,"Korea, Republic of",Dry bulk carriers,14,,2.74,,32420,,58245.0,,,Not available or not separately reported,161294,,326932.0,,,Not available or not separately reported,2023-S1
510,"Korea, Republic of",Dry breakbulk carriers,20,,1.13,,5544,,8045.0,,,Not available or not separately reported,149944,,175897.0,,,Not available or not separately reported,2023-S1
511,"Korea, Republic of",Roll-on/ roll-off ships,21,,,Not available or not separately reported,28295,,11601.0,,,Not available or not separately reported,89797,,47528.0,,,Not available or not separately reported,2023-S1
512,"Korea, Republic of",Container ships,14,,0.64,,31518,,,Not available or not separately reported,2942.0,,236583,,,Not available or not separately reported,24000.0,,2023-S1
513,"Korea, Republic of",Passenger ships,11,,,Not available or not separately reported,16809,,,Not available or not separately reported,,Not available or not separately reported,171598,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
514,Netherlands (Kingdom of the),All ships,19,,0.53,,12474,,15205.0,,3066.0,,237000,,324954.0,,24116.0,,2023-S1
515,Netherlands (Kingdom of the),Liquid bulk carriers,17,,0.55,,9104,,17955.0,,,Not available or not separately reported,170611,,321300.0,,,Not available or not separately reported,2023-S1
