Unnamed: 0,Economy_Label,CommercialMarket_Label,Average_age_of_vessels_years_Value,Average_age_of_vessels_years_MissingValue,Median_time_in_port_days_Value,Median_time_in_port_days_MissingValue,Average_size_GT_of_vessels_Value,Average_size_GT_of_vessels_MissingValue,Average_cargo_carrying_capacity_dwt_per_vessel_Value,Average_cargo_carrying_capacity_dwt_per_vessel_MissingValue,Average_container_carrying_capacity_TEU_per_container_ship_Value,Average_container_carrying_capacity_TEU_per_container_ship_MissingValue,Maximum_size_GT_of_vessels_Value,Maximum_size_GT_of_vessels_MissingValue,Maximum_cargo_carrying_capacity_dwt_of_vessels_Value,Maximum_cargo_carrying_capacity_dwt_of_vessels_MissingValue,Maximum_container_carrying_capacity_TEU_of_container_ships_Value,Maximum_container_carrying_capacity_TEU_of_container_ships_MissingValue,period
199,United States of America,Container ships,16,,1.43,,57959,,,Not available or not separately reported,5183.0,,196670,,,Not available or not separately reported,19273.0,,2022-S1
200,United States of America,Passenger ships,31,,,Not available or not separately reported,8830,,,Not available or not separately reported,,Not available or not separately reported,235600,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
201,World,All ships,18,,1.02,,14062,,25610.0,,3432.0,,236673,,404389.0,,24004.0,,2022-S2
202,World,Liquid bulk carriers,15,,0.98,,16112,,28338.0,,,Not available or not separately reported,170618,,323514.0,,,Not available or not separately reported,2022-S2
203,World,Liquefied petroleum gas carriers,15,,1.04,,10894,,12206.0,,,Not available or not separately reported,60784,,64220.0,,,Not available or not separately reported,2022-S2
204,World,Liquefied natural gas carriers,12,,1.12,,96141,,75255.0,,,Not available or not separately reported,168189,,155159.0,,,Not available or not separately reported,2022-S2
205,World,Dry bulk carriers,14,,2.14,,32448,,58122.0,,,Not available or not separately reported,204014,,404389.0,,,Not available or not separately reported,2022-S2
206,World,Dry breakbulk carriers,21,,1.09,,5532,,7652.0,,,Not available or not separately reported,91784,,116173.0,,,Not available or not separately reported,2022-S2
207,World,Roll-on/ roll-off ships,17,,,Not available or not separately reported,26417,,10575.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2022-S2
208,World,Container ships,15,,0.77,,37147,,,Not available or not separately reported,3432.0,,236673,,,Not available or not separately reported,24004.0,,2022-S2
209,World,Passenger ships,20,,,Not available or not separately reported,8294,,,Not available or not separately reported,,Not available or not separately reported,235600,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
210,Australia,All ships,17,,1.56,,32881,,82234.0,,4598.0,,168666,,297902.0,,9578.0,,2022-S2
211,Australia,Liquid bulk carriers,9,,1.32,,24427,,41487.0,,,Not available or not separately reported,85504,,158694.0,,,Not available or not separately reported,2022-S2
212,Australia,Liquefied petroleum gas carriers,8,,0.82,,12763,,13737.0,,,Not available or not separately reported,51035,,58814.0,,,Not available or not separately reported,2022-S2
213,Australia,Liquefied natural gas carriers,10,,1.2,,111819,,86185.0,,,Not available or not separately reported,149367,,97975.0,,,Not available or not separately reported,2022-S2
214,Australia,Dry bulk carriers,11,,1.66,,60048,,112390.0,,,Not available or not separately reported,152311,,297902.0,,,Not available or not separately reported,2022-S2
215,Australia,Dry breakbulk carriers,12,,2.16,,18142,,26849.0,,,Not available or not separately reported,54588,,80500.0,,,Not available or not separately reported,2022-S2
216,Australia,Roll-on/ roll-off ships,11,,,Not available or not separately reported,42265,,15276.0,,,Not available or not separately reported,76420,,43878.0,,,Not available or not separately reported,2022-S2
217,Australia,Container ships,14,,1.58,,49877,,,Not available or not separately reported,4598.0,,109712,,,Not available or not separately reported,9578.0,,2022-S2
218,Australia,Passenger ships,27,,,Not available or not separately reported,6256,,,Not available or not separately reported,,Not available or not separately reported,168666,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
219,Canada,All ships,25,,0.46,,12071,,32981.0,,4913.0,,176546,,321300.0,,16000.0,,2022-S2
220,Canada,Liquid bulk carriers,13,,1.02,,22500,,37271.0,,,Not available or not separately reported,162706,,321300.0,,,Not available or not separately reported,2022-S2
221,Canada,Liquefied petroleum gas carriers,8,,1.39,,48020,,54220.0,,,Not available or not separately reported,51035,,58757.0,,,Not available or not separately reported,2022-S2
222,Canada,Dry bulk carriers,22,,0.19,,26850,,45735.0,,,Not available or not separately reported,109631,,210000.0,,,Not available or not separately reported,2022-S2
223,Canada,Dry breakbulk carriers,9,,0.14,,9167,,11173.0,,,Not available or not separately reported,39258,,61670.0,,,Not available or not separately reported,2022-S2
224,Canada,Roll-on/ roll-off ships,15,,,Not available or not separately reported,12874,,6342.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2022-S2
225,Canada,Container ships,15,,1.73,,55058,,,Not available or not separately reported,4913.0,,176546,,,Not available or not separately reported,16000.0,,2022-S2
226,Canada,Passenger ships,28,,,Not available or not separately reported,8239,,,Not available or not separately reported,,Not available or not separately reported,169116,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
227,China,All ships,13,,1.11,,33458,,46080.0,,4516.0,,236673,,404389.0,,24004.0,,2022-S2
228,China,Liquid bulk carriers,12,,1.14,,20594,,35912.0,,,Not available or not separately reported,170611,,323514.0,,,Not available or not separately reported,2022-S2
229,China,Liquefied petroleum gas carriers,14,,1.04,,9975,,10849.0,,,Not available or not separately reported,60784,,64220.0,,,Not available or not separately reported,2022-S2
230,China,Liquefied natural gas carriers,10,,1.22,,101184,,81230.0,,,Not available or not separately reported,168189,,155159.0,,,Not available or not separately reported,2022-S2
231,China,Dry bulk carriers,14,,2.08,,43016,,78647.0,,,Not available or not separately reported,204014,,404389.0,,,Not available or not separately reported,2022-S2
232,China,Dry breakbulk carriers,17,,1.52,,10885,,15106.0,,,Not available or not separately reported,91649,,103378.0,,,Not available or not separately reported,2022-S2
233,China,Roll-on/ roll-off ships,13,,,Not available or not separately reported,28128,,9914.0,,,Not available or not separately reported,76420,,38500.0,,,Not available or not separately reported,2022-S2
234,China,Container ships,13,,0.7,,48055,,,Not available or not separately reported,4516.0,,236673,,,Not available or not separately reported,24004.0,,2022-S2
235,China,Passenger ships,12,,,Not available or not separately reported,21024,,,Not available or not separately reported,,Not available or not separately reported,77499,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
236,Croatia,All ships,18,,1.39,,3902,,20954.0,,3688.0,,164998,,179276.0,,15413.0,,2022-S2
237,Croatia,Liquid bulk carriers,16,,1.05,,15394,,26025.0,,,Not available or not separately reported,84029,,159855.0,,,Not available or not separately reported,2022-S2
238,Croatia,Liquefied natural gas carriers,6,,1.99,,109033,,88446.0,,,Not available or not separately reported,136980,,121946.0,,,Not available or not separately reported,2022-S2
239,Croatia,Dry bulk carriers,26,,3.18,,17879,,31363.0,,,Not available or not separately reported,93274,,179276.0,,,Not available or not separately reported,2022-S2
240,Croatia,Dry breakbulk carriers,23,,2.98,,4524,,6300.0,,,Not available or not separately reported,23930,,38209.0,,,Not available or not separately reported,2022-S2
241,Croatia,Container ships,16,,0.68,,39928,,,Not available or not separately reported,3688.0,,153773,,,Not available or not separately reported,15413.0,,2022-S2
242,Croatia,Passenger ships,18,,,Not available or not separately reported,3547,,,Not available or not separately reported,,Not available or not separately reported,164998,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
243,Denmark,All ships,21,,0.76,,10045,,7445.0,,2026.0,,214286,,177651.0,,19630.0,,2022-S2
